expert,active_owned_classes,score,ood_role,id_support,ood_support,auroc,aupr_id,fpr95
flood,"ddos,dos",maxsim,unseen,100000,37631,0.9999,1.0,0.0004
flood,"ddos,dos",maxsim,aux,100000,50000,0.9975,0.9985,0.0094
flood,"ddos,dos",maxsim,non_owned_known_attack,100000,92051,0.8084,0.8476,0.3654
flood,"ddos,dos",maxsim,benign,100000,50000,0.9998,0.9999,0.0
flood,"ddos,dos",energy_head,unseen,100000,37631,0.9998,0.9999,0.0
flood,"ddos,dos",energy_head,aux,100000,50000,0.9986,0.9993,0.0074
flood,"ddos,dos",energy_head,non_owned_known_attack,100000,92051,0.8153,0.8553,0.3653
flood,"ddos,dos",energy_head,benign,100000,50000,1.0,1.0,0.0
brute_force,brute_force,maxsim,unseen,50000,37631,0.0001,0.3638,1.0
brute_force,brute_force,maxsim,aux,50000,50000,0.0026,0.3071,1.0
brute_force,brute_force,maxsim,non_owned_known_attack,50000,142051,0.081,0.1588,1.0
brute_force,brute_force,maxsim,benign,50000,50000,0.0,0.3069,1.0
brute_force,brute_force,energy_head,unseen,50000,37631,0.0,0.3638,1.0
brute_force,brute_force,energy_head,aux,50000,50000,0.0011,0.3069,1.0
brute_force,brute_force,energy_head,non_owned_known_attack,50000,142051,0.0822,0.1591,1.0
brute_force,brute_force,energy_head,benign,50000,50000,0.0,0.3069,1.0
tail,"bot,web_attacks",maxsim,unseen,42047,37631,0.9964,0.9979,0.0
tail,"bot,web_attacks",maxsim,aux,42047,50000,0.9959,0.9971,0.0
tail,"bot,web_attacks",maxsim,non_owned_known_attack,42047,150000,0.9953,0.9935,0.0
tail,"bot,web_attacks",maxsim,benign,42047,50000,0.9974,0.9981,0.0
tail,"bot,web_attacks",energy_head,unseen,42047,37631,0.9964,0.9979,0.0
tail,"bot,web_attacks",energy_head,aux,42047,50000,0.9956,0.9968,0.0
tail,"bot,web_attacks",energy_head,non_owned_known_attack,42047,150000,0.9944,0.9924,0.0
tail,"bot,web_attacks",energy_head,benign,42047,50000,0.9972,0.9978,0.0
benign,benign,maxsim,unseen,50000,37631,0.5019,0.6068,0.9742
benign,benign,maxsim,aux,50000,50000,0.8404,0.8754,0.6977
benign,benign,maxsim,known_attack,50000,192051,0.8487,0.8257,0.7549
benign,benign,energy_head,unseen,50000,37631,0.4495,0.5922,0.9673
benign,benign,energy_head,aux,50000,50000,0.7769,0.8093,0.6903
benign,benign,energy_head,known_attack,50000,192051,0.807,0.7365,0.7472
