expert,score,ood_role,threshold,id_retain_at_tau,ood_detect_at_tau
flood,maxsim,unseen,8.056013107299805,0.95,0.9996
flood,maxsim,aux,8.056013107299805,0.95,0.9906
flood,maxsim,non_owned_known_attack,8.056013107299805,0.95,0.6346
flood,maxsim,benign,8.056013107299805,0.95,1.0
flood,energy_head,unseen,16.82063865661621,0.95,1.0
flood,energy_head,aux,16.82063865661621,0.95,0.9926
flood,energy_head,non_owned_known_attack,16.82063865661621,0.95,0.6347
flood,energy_head,benign,16.82063865661621,0.95,1.0
brute_force,maxsim,unseen,1.0496970415115356,0.9849,0.0
brute_force,maxsim,aux,1.0496970415115356,0.9849,0.0
brute_force,maxsim,non_owned_known_attack,1.0496970415115356,0.9849,0.0
brute_force,maxsim,benign,1.0496970415115356,0.9849,0.0
brute_force,energy_head,unseen,7.10165548324585,1.0,0.0
brute_force,energy_head,aux,7.10165548324585,1.0,0.0
brute_force,energy_head,non_owned_known_attack,7.10165548324585,1.0,0.0
brute_force,energy_head,benign,7.10165548324585,1.0,0.0
tail,maxsim,unseen,9.549464225769043,0.9592,1.0
tail,maxsim,aux,9.549464225769043,0.9592,1.0
tail,maxsim,non_owned_known_attack,9.549464225769043,0.9592,1.0
tail,maxsim,benign,9.549464225769043,0.9592,1.0
tail,energy_head,unseen,17.16607093811035,0.9509,1.0
tail,energy_head,aux,17.16607093811035,0.9509,1.0
tail,energy_head,non_owned_known_attack,17.16607093811035,0.9509,1.0
tail,energy_head,benign,17.16607093811035,0.9509,1.0
benign,maxsim,unseen,8.84849739074707,0.964,0.0258
benign,maxsim,aux,8.84849739074707,0.964,0.3023
benign,maxsim,known_attack,8.84849739074707,0.964,0.2451
benign,energy_head,unseen,15.430098533630371,0.9647,0.0327
benign,energy_head,aux,15.430098533630371,0.9647,0.3097
benign,energy_head,known_attack,15.430098533630371,0.9647,0.2528
