expert,score,ood_role,threshold,id_retain_at_tau,ood_detect_at_tau
flood,maxsim,unseen,7.99920654296875,0.95,0.3263
flood,maxsim,aux,7.99920654296875,0.95,0.9926
flood,maxsim,non_owned_known_attack,7.99920654296875,0.95,0.9999
flood,maxsim,benign,7.99920654296875,0.95,1.0
flood,energy_head,unseen,16.754953384399414,0.95,0.3263
flood,energy_head,aux,16.754953384399414,0.95,0.9927
flood,energy_head,non_owned_known_attack,16.754953384399414,0.95,1.0
flood,energy_head,benign,16.754953384399414,0.95,1.0
tail,maxsim,unseen,11.420681953430176,0.9504,0.0461
tail,maxsim,aux,11.420681953430176,0.9504,0.4785
tail,maxsim,non_owned_known_attack,11.420681953430176,0.9504,0.1271
tail,maxsim,benign,11.420681953430176,0.9504,0.1409
tail,energy_head,unseen,17.502859115600586,0.95,0.024
tail,energy_head,aux,17.502859115600586,0.95,0.382
tail,energy_head,non_owned_known_attack,17.502859115600586,0.95,0.1155
tail,energy_head,benign,17.502859115600586,0.95,0.1313
benign,maxsim,unseen,7.6953277587890625,0.95,0.0
benign,maxsim,aux,7.6953277587890625,0.95,0.1439
benign,maxsim,known_attack,7.6953277587890625,0.95,0.0563
benign,energy_head,unseen,13.531845092773438,0.95,0.0
benign,energy_head,aux,13.531845092773438,0.95,0.1612
benign,energy_head,known_attack,13.531845092773438,0.95,0.061
