method,class,precision,recall,f1,support
system_dedup_bench,benign,0.9960571574581835,0.9455563654818799,0.9701500061579931,1607828
system_dedup_bench,bot,0.5590062111801242,0.9625668449197861,0.7072691552062869,561
system_dedup_bench,brute_force,0.992056346978764,0.9966482230261757,0.9943469837309907,18796
system_dedup_bench,ddos,0.9998923036254516,0.9980942701054504,0.9989924778198394,102323
system_dedup_bench,dos,0.9965400584345686,0.9894270773693652,0.9929708299017448,26199
system_dedup_bench,infiltration,0.038448667797509835,0.3554891710231516,0.0693920903013516,9373
system_dedup_bench,web_attacks,0.04296330701346958,0.9390862944162437,0.08216744392627137,197
system_dedup_bench,macro_avg,,,0.6878984267206396,1765277
system_dedup_bench,weighted_avg,,,0.9674528230598797,1765277
system_dedup_bench,tail_avg,,,0.2862762298113033,1765277
global_dedup_bench,benign,0.9954364883737474,0.9921341088723421,0.9937825551455586,1607828
global_dedup_bench,bot,0.9963369963369964,0.9696969696969697,0.982836495031617,561
global_dedup_bench,brute_force,1.0,0.9994679719089168,0.9997339151721569,18796
global_dedup_bench,ddos,0.9999609035196606,0.9998436324189087,0.9999022645308209,102323
global_dedup_bench,dos,0.9998850442579607,0.9959922134432612,0.9979348324919688,26199
global_dedup_bench,infiltration,0.15781769793745842,0.25306732102848606,0.19440232758267426,9373
global_dedup_bench,web_attacks,0.9230769230769231,0.06091370558375635,0.11428571428571428,197
global_dedup_bench,macro_avg,,,0.7546968720343585,1765277
global_dedup_bench,weighted_avg,,,0.9899162167807392,1765277
global_dedup_bench,tail_avg,,,0.4305081789666685,1765277
