class,winner,rows
benign,global,3254737
ddos,flood,257456
benign,inf,235947
brute_force,bf_bot,115020
bot,bf_bot,41395
dos,flood,39079
infiltration,global,21842
dos,bf_bot,21110
benign,web,12106
infiltration,web,8836
infiltration,inf,6945
ddos,global,3422
ddos,web,2192
ddos,inf,1802
web_attacks,web,420
dos,web,387
bot,inf,142
benign,bf_bot,124
web_attacks,global,52
web_attacks,inf,27
brute_force,web,20
benign,flood,12
dos,inf,12
web_attacks,flood,10
infiltration,flood,8
dos,global,6
bot,global,5
