expert,class,rows,mean_delta,frac_positive
1,benign,3000,-0.11947751615106514,0.27
1,bot,3000,5.361999331604692e-07,0.0006666666666666666
1,brute_force,3000,6.697179896805515,1.0
1,ddos,3000,-6.004214658612725e-05,0.002
1,dos,3000,2.8890618478767363,0.9653333333333334
1,infiltration,3000,-0.10156024359404524,0.331
1,web_attacks,381,11.634280788989669,0.9553805774278216
2,benign,3000,-0.09217178697433076,0.325
2,bot,3000,1.11926485068276e-06,0.0016666666666666668
2,brute_force,3000,-1.0874815023354547,0.0
2,ddos,3000,-0.0002713687814660631,0.044
2,dos,3000,0.14266442294492482,0.6
2,infiltration,3000,-0.07994453722792222,0.30033333333333334
2,web_attacks,381,12.575660586963206,0.9973753280839895
3,benign,3000,-0.1235317898776617,0.30666666666666664
3,bot,3000,9.103610722688125e-07,0.0006666666666666666
3,brute_force,3000,6.697180101554229,1.0
3,ddos,3000,-0.00015720897830373668,0.0013333333333333333
3,dos,3000,2.896695361513303,0.9673333333333334
3,infiltration,3000,-0.14262099886552768,0.3416666666666667
3,web_attacks,381,11.199530273286234,0.9422572178477691
4,benign,3000,0.05824937300197753,0.5323333333333333
4,bot,3000,-0.001967069929170019,0.0003333333333333333
4,brute_force,3000,-0.34958334467772223,0.0
4,ddos,3000,-0.013969363658581438,0.0
4,dos,3000,-0.7166553875286471,0.20566666666666666
4,infiltration,3000,-0.5162354865075178,0.042666666666666665
4,web_attacks,381,12.049631276725735,0.4225721784776903
