dataset,cls,f1,support
cic2018,benign,0.881756,100000
cic2018,bot,0.99778,41542
cic2018,brute_force,0.904438,100000
cic2018,ddos,0.999815,100000
cic2018,dos,0.782263,60594
cic2018,infiltration,0.487164,37631
cic2018,web_attacks,0.090056,509
bot_iot,benign,0.833882,10399
bot_iot,ddos,0.475174,100000
bot_iot,dos,0.677536,100000
bot_iot,reconnaissance,0.974213,100000
bot_iot,theft,0.351351,323
ton_iot,backdoor,0.999102,40678
ton_iot,benign,0.613275,100000
ton_iot,ddos,0.983898,100000
ton_iot,dos,0.825677,40692
ton_iot,injection,0.964601,76356
ton_iot,mitm,0.856137,1204
ton_iot,password,0.980765,100000
ton_iot,ransomware,0.826754,795
ton_iot,scanning,0.005166,100000
ton_iot,xss,0.929335,100000
cic2017_full,bot,0.809917,392
cic2017_full,ddos,0.956172,25605
cic2017_full,dos-goldeneye,0.964319,2060
cic2017_full,dos-hulk,0.977642,46026
cic2017_full,dos-slowhttptest,0.861905,1101
cic2017_full,dos-slowloris,0.775448,1160
cic2017_full,ftp-patator,0.995887,1587
cic2017_full,heartbleed,0.8,3
cic2017_full,infiltration,0.857143,8
cic2017_full,normal,0.982071,100000
cic2017_full,portscan,0.984514,31762
cic2017_full,ssh-patator,0.998302,1180
cic2017_full,web-attack-brute-force,0.725038,302
cic2017_full,web-attack-sql-injection,0.666667,5
cic2017_full,web-attack-xss,0.298851,131
cic2018,macro_avg,0.734753,440276
cic2018,weighted_avg,0.876335,440276
cic2018,tail_avg,0.525,440276
bot_iot,macro_avg,0.662431,310722
bot_iot,weighted_avg,0.712783,310722
bot_iot,tail_avg,0.351351,310722
ton_iot,macro_avg,0.798471,659725
ton_iot,weighted_avg,0.759142,659725
ton_iot,tail_avg,0.841446,659725
cic2017_full,macro_avg,0.843592,211322
cic2017_full,weighted_avg,0.975472,211322
cic2017_full,tail_avg,0.66954,211322
