expert,active_owned_classes,score,ood_role,id_support,ood_support,auroc,aupr_id,fpr95,unseen_family
flood,"ddos,dos",maxsim,unseen,100000,41542,1.0,1.0,0.0,bot
flood,"ddos,dos",maxsim,aux,100000,50000,0.9977,0.9987,0.0094,bot
flood,"ddos,dos",maxsim,non_owned_known_attack,100000,88140,0.8086,0.8751,0.3817,bot
flood,"ddos,dos",maxsim,benign,100000,50000,0.9999,0.9999,0.0,bot
flood,"ddos,dos",energy_head,unseen,100000,41542,1.0,1.0,0.0,bot
flood,"ddos,dos",energy_head,aux,100000,50000,0.999,0.9994,0.0074,bot
flood,"ddos,dos",energy_head,non_owned_known_attack,100000,88140,0.8182,0.8842,0.3815,bot
flood,"ddos,dos",energy_head,benign,100000,50000,1.0,1.0,0.0,bot
brute_force,brute_force,maxsim,unseen,50000,41542,0.0,0.3436,1.0,bot
brute_force,brute_force,maxsim,aux,50000,50000,0.0026,0.3071,1.0,bot
brute_force,brute_force,maxsim,non_owned_known_attack,50000,138140,0.0853,0.1632,1.0,bot
brute_force,brute_force,maxsim,benign,50000,50000,0.0,0.3069,1.0,bot
brute_force,brute_force,energy_head,unseen,50000,41542,0.0,0.3436,1.0,bot
brute_force,brute_force,energy_head,aux,50000,50000,0.001,0.3069,1.0,bot
brute_force,brute_force,energy_head,non_owned_known_attack,50000,138140,0.0826,0.1628,1.0,bot
brute_force,brute_force,energy_head,benign,50000,50000,0.0,0.3069,1.0,bot
tail,"infiltration,web_attacks",maxsim,unseen,38137,41542,0.9915,0.9953,0.0,bot
tail,"infiltration,web_attacks",maxsim,aux,38137,50000,0.8786,0.7607,0.2922,bot
tail,"infiltration,web_attacks",maxsim,non_owned_known_attack,38137,150000,0.9898,0.9873,0.0023,bot
tail,"infiltration,web_attacks",maxsim,benign,38137,50000,0.6787,0.5255,0.5884,bot
tail,"infiltration,web_attacks",energy_head,unseen,38137,41542,0.9961,0.9976,0.0,bot
tail,"infiltration,web_attacks",energy_head,aux,38137,50000,0.88,0.7666,0.3324,bot
tail,"infiltration,web_attacks",energy_head,non_owned_known_attack,38137,150000,0.9904,0.9867,0.0017,bot
tail,"infiltration,web_attacks",energy_head,benign,38137,50000,0.6804,0.5275,0.6067,bot
benign,benign,maxsim,unseen,50000,41542,0.7711,0.8778,0.9984,bot
benign,benign,maxsim,aux,50000,50000,0.8972,0.8892,0.389,bot
benign,benign,maxsim,known_attack,50000,188140,0.6638,0.4118,0.8952,bot
benign,benign,energy_head,unseen,50000,41542,0.763,0.8763,0.9978,bot
benign,benign,energy_head,aux,50000,50000,0.8954,0.8924,0.3978,bot
benign,benign,energy_head,known_attack,50000,188140,0.7081,0.4889,0.8966,bot
flood,"ddos,dos",maxsim,unseen,100000,37631,0.9999,1.0,0.0004,infiltration
